msdynce_autonumber,msdynce_botcontentid,msdynce_botid,importsequencenumber,msdynce_state,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit
001017,5ae857c8-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Released,Active,Active,,,680839,ea4e10f5-66f2-e911-a819-000d3a192527
001016,58e857c8-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680831,ea4e10f5-66f2-e911-a819-000d3a192527
001015,56e857c8-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680826,ea4e10f5-66f2-e911-a819-000d3a192527
001014,ea2126c0-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680822,ea4e10f5-66f2-e911-a819-000d3a192527
001013,e62126c0-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680818,ea4e10f5-66f2-e911-a819-000d3a192527
001012,86f96ab9-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680812,ea4e10f5-66f2-e911-a819-000d3a192527
001011,84f96ab9-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680808,ea4e10f5-66f2-e911-a819-000d3a192527
001010,82f96ab9-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680804,ea4e10f5-66f2-e911-a819-000d3a192527
001009,2e7ba5b2-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680800,ea4e10f5-66f2-e911-a819-000d3a192527
001008,2c7ba5b2-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680796,ea4e10f5-66f2-e911-a819-000d3a192527
001007,5fc283ac-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680792,ea4e10f5-66f2-e911-a819-000d3a192527
001006,5bc283ac-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680788,ea4e10f5-66f2-e911-a819-000d3a192527
001005,57c283ac-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680784,ea4e10f5-66f2-e911-a819-000d3a192527
001004,55c283ac-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680780,ea4e10f5-66f2-e911-a819-000d3a192527
001003,375688a6-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680776,ea4e10f5-66f2-e911-a819-000d3a192527
001002,305688a6-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680772,ea4e10f5-66f2-e911-a819-000d3a192527
001001,2e5688a6-b6f8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680768,ea4e10f5-66f2-e911-a819-000d3a192527
001000,f8c43796-acf8-e911-a813-000d3a53070f,822ea097-36a6-4bf3-b158-df1d4a1465d9,,Draft,Active,Active,,,680728,ea4e10f5-66f2-e911-a819-000d3a192527
